"","trimestre","alcance","desocupados","activos","ocupados","edad_activ","desocupados_ampliado","activos_ampliado","desocupacion","participacion","ocupacion","desocupacion_ampliada"
"97",2010-02-01,"Maule",29425.1960797673,467891.30708345,438466.111003683,794911,118756.709604987,557222.82060867,6.3,58.9,55.2,21.3
"98",2010-03-01,"Maule",27447.9792870111,470617.944189997,443169.964902985,795889,106116.368927428,549286.333830413,5.8,59.1,55.7,19.3
"99",2010-04-01,"Maule",28238.764890195,475146.611002614,446907.846112419,796894,101118.809263204,548026.655375622,5.9,59.6,56.1,18.5
"100",2010-05-01,"Maule",31165.0093873615,461955.357037337,430790.347649975,797857,106153.589434574,536943.937084549,6.7,57.9,54,19.8
"101",2010-06-01,"Maule",35189.1791379319,448421.000378785,413231.821240853,798875,120629.301137783,533861.122378636,7.8,56.1,51.7,22.6
"102",2010-07-01,"Maule",37314.4635787163,440975.93069229,403661.467113574,799871,130078.010121368,533739.477234942,8.5,55.1,50.5,24.4
"103",2010-08-01,"Maule",35957.9154433017,442871.230574244,406913.315130942,800901,134142.095574301,541055.410705244,8.1,55.3,50.8,24.8
"104",2010-09-01,"Maule",36489.8214529104,449575.369176642,413085.547723731,801895,138987.148978007,552072.696701739,8.1,56.1,51.5,25.2
"105",2010-10-01,"Maule",36787.2442603797,452038.530659082,415251.286398703,802899,137085.696601254,552336.982999956,8.1,56.3,51.7,24.8
"106",2010-11-01,"Maule",31655.6580605792,460172.696696708,428517.038636129,803831,124041.988245392,552559.026881521,6.9,57.2,53.3,22.4
"107",2010-12-01,"Maule",28570.6776531569,473265.663992927,444694.98633977,804874,108668.309422249,553363.295762019,6,58.8,55.3,19.6
"108",2011-01-01,"Maule",28284.3863130216,487790.505651688,459506.119338667,805817,104141.5515301,563647.670868767,5.8,60.5,57,18.5
"109",2011-02-01,"Maule",29999.7445469982,490535.580446671,460535.835899673,806817,111427.747565876,571963.58346555,6.1,60.8,57.1,19.5
"110",2011-03-01,"Maule",30280.7466897036,479438.567918062,449157.821228359,807799,114816.206895946,563974.028124304,6.3,59.4,55.6,20.4
"111",2011-04-01,"Maule",29953.8096221622,472220.141261719,442266.331639556,808814,112773.953225435,555040.284864992,6.3,58.4,54.7,20.3
"112",2011-05-01,"Maule",31978.4042851556,461414.003293481,429435.599008325,809736,117003.658617383,546439.257625708,6.9,57,53,21.4
"113",2010-02-01,"Biobío",64343.2326314458,710938.408867629,646595.176236183,1228005,208560.571703056,855155.747939239,9.1,57.9,52.7,24.4
"114",2010-03-01,"Biobío",61475.0436095137,708539.968457425,647064.924847911,1229219,189953.56614322,837018.490991131,8.7,57.6,52.6,22.7
"115",2010-04-01,"Biobío",58386.6573015264,706139.349731204,647752.692429677,1230491,173874.570697434,821627.263127112,8.3,57.4,52.6,21.2
"116",2010-05-01,"Biobío",57156.7712740127,718228.718438967,661071.947164954,1231677,171151.507698388,832223.454863343,8,58.3,53.7,20.6
"117",2010-06-01,"Biobío",59526.5616499268,724337.375923952,664810.814274025,1232946,176940.237122267,841751.051396292,8.2,58.7,53.9,21
