"","trimestre","alcance","sexo","desocupados","activos","ocupados","edad_activ","desocupados_ampliado","activos_ampliado","desocupacion","participacion","ocupacion","desocupacion_ampliada"
"260",2010-03-01,"La Araucanía",2,18389.0592305244,168987.720274486,150598.661043962,378717,66916.609837893,217515.270881855,10.9,44.6,39.8,30.8
"261",2010-04-01,"La Araucanía",1,13524.3189115555,260980.394356651,247456.075445095,358274,40719.3646948405,288175.440139936,5.2,72.8,69.1,14.1
"262",2010-04-01,"La Araucanía",2,19416.403208924,168476.162135604,149059.75892668,379139,68180.8081035779,217240.567030258,11.5,44.4,39.3,31.4
"263",2010-05-01,"La Araucanía",1,15676.8215672907,255474.248215879,239797.426648588,358644,42579.8831722991,282377.309820887,6.1,71.2,66.9,15.1
"264",2010-05-01,"La Araucanía",2,18292.7719674421,164324.41412408,146031.642156638,379551,76421.8157810589,222453.457937696,11.1,43.3,38.5,34.4
"265",2010-06-01,"La Araucanía",1,15681.8460666212,261576.397630761,245894.55156414,358999,44173.2398599651,290067.791424105,6,72.9,68.5,15.2
"266",2010-06-01,"La Araucanía",2,19827.4146408409,166649.054923255,146821.640282414,379976,82658.9738153467,229480.614097761,11.9,43.9,38.6,36
"267",2010-07-01,"La Araucanía",1,16968.5762596345,260523.137300971,243554.561041337,359348,49739.8315151953,293294.392556532,6.5,72.5,67.8,17
"268",2010-07-01,"La Araucanía",2,18825.8389897836,167427.651722297,148601.812732513,380398,81547.8568436743,230149.669576187,11.2,44,39.1,35.4
"269",2010-08-01,"La Araucanía",1,16900.6910867847,260922.907483036,244022.216396252,359688,49423.296662262,293445.513058514,6.5,72.5,67.8,16.8
"270",2010-08-01,"La Araucanía",2,21203.2577184811,168262.363890518,147059.106172037,380836,82003.8821566552,229062.988328692,12.6,44.2,38.6,35.8
"271",2010-09-01,"La Araucanía",1,17763.64707824,256230.563845728,238466.916767488,360034,51877.0428391688,290343.959606657,6.9,71.2,66.2,17.9
"272",2010-09-01,"La Araucanía",2,20076.1122457715,168247.450747382,148171.338501611,381225,78758.9905747877,226930.329076398,11.9,44.1,38.9,34.7
"273",2010-10-01,"La Araucanía",1,18304.8101565389,255453.774514478,237148.964357939,360382,50654.9950100447,287803.959367984,7.2,70.9,65.8,17.6
"274",2010-10-01,"La Araucanía",2,20659.1461852893,167854.697892745,147195.551707456,381661,78355.2678610571,225550.819568513,12.3,44,38.6,34.7
"275",2010-11-01,"La Araucanía",1,17742.6038602745,251946.226334216,234203.622473942,360710,49694.1069144045,283897.729388346,7,69.8,64.9,17.5
